eBike,Pos,No.,Name,Team,Class,Time,Behind,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Stage 1  : Best,,Run 1,Run 2,Run 3,Run 4,Run 5,,Stage 2: Best,Run 1,Run 2,Run 3,Run 4,,,Stage 3: Best,,,,,,,,,,,,,,,,,,
0,60th,134,Richie Rich, ,Manual | Male Veteran,05:24.0,+0:51.55,02:16.6,02:02.8, , , , ,02:02.8,79th,+0:25.30,02:14.9,02:14.0, , , ,02:14.0,52nd,+0:19.76,01:09.2,01:07.2, , ,01:07.2,32nd=,+0:08.73,,,,,,,,,,,,,,,,
0,61st,330,Sam Hinson, ,Manual | Male Senior,05:24.2,+0:51.76,02:01.7,01:55.8,01:55.1, , , ,01:55.1,46th,+0:17.59,02:41.0,02:18.7, , , ,02:18.7,70th,+0:24.46,01:13.8,01:10.4, , ,01:10.4,62nd,+0:11.95,,,,,,,,,,,,,,,,
0,62nd,15,Tig Arnott,FOD Night Riders,Manual | Male Master,05:24.5,+0:52.04,02:06.2,01:58.8,01:56.6, , , ,01:56.6,55th,+0:19.13,02:19.3,02:19.1, , , ,02:19.1,74th,+0:24.81,01:09.7,01:08.8, , ,01:08.8,47th,+0:10.34,,,,,,,,,,,,,,,,
0,63rd,56,Luke Southall, ,Manual | Male Senior,05:25.1,+0:52.67,02:13.0,02:03.7,02:00.1, , , ,02:00.1,73rd,+0:22.63,02:24.4,02:16.2, , , ,02:16.2,58th,+0:21.95,01:12.3,01:16.1,01:16.2,01:08.8,01:08.8,46th,+0:10.33,,,,,,,,,,,,,,,,
0,64th,324,Gareth Wilshire, ,Manual | Male Grand Vet,05:25.6,+0:53.17,02:03.9,01:59.8, , , , ,01:59.8,72nd,+0:22.28,02:19.9,02:14.4, , , ,02:14.4,54th,+0:20.19,01:11.4,01:11.8, , ,01:11.4,73rd=,+0:12.94,,,,,,,,,,,,,,,,
0,65th,288,Egor DronInstagram, ,Manual | Male Elite,05:26.4,+0:53.99,02:04.0,01:58.3,01:52.4, , , ,01:52.4,32nd=,+0:14.84,02:25.8,02:20.7, , , ,02:20.7,80th,+0:26.46,01:13.5,01:16.3,01:13.4, ,01:13.4,92nd,+0:14.93,,,,,,,,,,,,,,,,
0,66th,114,Ollie Jehu, ,Manual | Male Senior,05:26.6,+0:54.14,02:10.9,02:13.0,01:58.5,02:00.3, , ,01:58.5,67th,+0:20.99,02:48.3,02:23.0,02:17.1, , ,02:17.1,65th,+0:22.90,01:44.2,01:11.0, , ,01:11.0,66th,+0:12.49,,,,,,,,,,,,,,,,
0,67th,51,Scott Pullin,Cycle Solutions,Manual | Male Master,05:27.1,+0:54.60,02:04.3,01:59.0, , , , ,01:59.0,70th,+0:21.49,02:20.6,02:17.3, , , ,02:17.3,66th,+0:23.06,01:12.1,01:10.7, , ,01:10.7,65th,+0:12.29,,,,,,,,,,,,,,,,
0,68th,201,Paul DudleyTwitterInstagram,Boys On The Case,Manual | Male Veteran,05:27.3,+0:54.88,02:05.7,01:58.4,01:55.1, , , ,01:55.1,47th=,+0:17.64,02:51.8,02:20.8, , , ,02:20.8,81st,+0:26.54,01:11.4,01:14.8,01:11.6, ,01:11.4,73rd=,+0:12.94,,,,,,,,,,,,,,,,
0,69th,271,Scott Sharp, ,Manual | Male Master,05:27.3,+0:54.89,02:02.6,01:53.6, , , , ,01:53.6,39th,+0:16.09,02:27.6,02:19.5, , , ,02:19.5,76th,+0:25.25,01:20.2,01:14.2, , ,01:14.2,100th,+0:15.79,,,,,,,,,,,,,,,,
0,70th,202,Ben Waugh,Boys On The Case,Manual | Male Master,05:28.2,+0:55.74,02:05.6,01:55.7, , , , ,01:55.7,53rd,+0:18.14,02:47.5,02:24.0, , , ,02:24.0,92nd,+0:29.75,01:15.1,01:08.6, , ,01:08.6,45th,+0:10.09,,,,,,,,,,,,,,,,
0,71st,129,Jed Wherlock,Miggly Moos,Manual | Male U18,05:28.6,+0:56.15,02:10.8,02:02.1,01:59.4, , , ,01:59.4,71st,+0:21.85,02:24.9,02:18.0, , , ,02:18.0,69th,+0:23.79,01:11.2,01:11.2, , ,01:11.2,70th,+0:12.75,,,,,,,,,,,,,,,,
0,72nd,391,Phillip Coombes,Broken Media,Manual | Male Master,05:29.8,+0:57.39,02:08.4,01:59.7,01:57.7,01:55.9, , ,01:55.9,54th,+0:18.39,02:41.0,02:21.0, , , ,02:21.0,83rd,+0:26.79,01:14.0,01:12.9, , ,01:12.9,90th,+0:14.45,,,,,,,,,,,,,,,,
0,73rd,4,Jack Miller, ,Manual | Male Master,05:30.3,+0:57.83,02:20.4,02:08.9,02:03.2, , , ,02:03.2,81st,+0:25.73,02:24.4,02:13.7, , , ,02:13.7,51st,+0:19.45,01:13.3,01:13.8, , ,01:13.3,91st,+0:14.89,,,,,,,,,,,,,,,,
0,74th,101,Steven Wain, ,Manual | Male Elite,05:30.9,+0:58.49,02:17.8,02:04.5, , , , ,02:04.5,85th,+0:27.04,02:26.0,02:16.3, , , ,02:16.3,59th,+0:22.00,01:18.9,01:11.2,01:10.1, ,01:10.1,59th,+0:11.69,,,,,,,,,,,,,,,,
0,75th,262,Adam Sawyer,Far Future,Manual | Male Master,05:32.1,+0:59.65,02:08.1,01:58.3,01:58.8,02:08.1, , ,01:58.3,66th,+0:20.75,03:09.2,02:22.8, , , ,02:22.8,88th,+0:28.54,01:11.1,01:12.4, , ,01:11.1,67th,+0:12.60,,,,,,,,,,,,,,,,
0,76th,84,James Hughes,JJ,Manual | Male Fun,05:32.7,+1:00.20,02:16.8,02:07.9,01:58.9, , , ,01:58.9,69th,+0:21.34,02:26.4,02:23.1, , , ,02:23.1,91st,+0:28.85,01:10.7,01:11.2, , ,01:10.7,64th,+0:12.25,,,,,,,,,,,,,,,,
0,77th,236,James Kitchen, ,Manual | Male Master,05:33.7,+1:01.23,02:14.4,02:02.8,02:04.7, , , ,02:02.8,78th,+0:25.24,02:27.7,02:18.8,02:22.9, , ,02:18.8,71st,+0:24.55,01:12.1, , , ,01:12.1,80th,+0:13.68,,,,,,,,,,,,,,,,
0,78th,319,Nick NelsonInstagramStrava,RLC MTB Enduro Team,Manual | Male Veteran,05:34.4,+1:01.94,02:22.3,02:06.7, , , , ,02:06.7,95th,+0:29.14,02:29.7,02:16.4, , , ,02:16.4,60th=,+0:22.10,01:14.4,01:11.4, , ,01:11.4,73rd=,+0:12.94,,,,,,,,,,,,,,,,
0,79th,33,Mike Norman,Ace bicycles,Manual | Male Grand Vet,05:34.4,+1:01.95,02:10.4,02:04.8, , , , ,02:04.8,87th,+0:27.24,02:29.4,02:18.1,02:17.8, , ,02:17.8,67th,+0:23.56,01:11.9,01:13.3, , ,01:11.9,78th,+0:13.39,,,,,,,,,,,,,,,,
